,source,target,dist,tol
0,1,30,100.0,0
1,1,45,125.0,0
2,1,82,114.564392373896,0
3,1,22,103.07764064044152,0
4,1,29,103.07764064044152,0
5,1,93,55.90169943749474,0
6,1,63,125.0,0
7,1,17,79.05694150420949,0
8,1,18,90.13878188659973,0
9,1,59,55.90169943749474,0
10,1,4,75.0,0
11,1,79,150.0,0
12,1,86,134.6291201783626,0
13,1,53,25.0,0
14,1,90,79.05694150420949,0
15,1,47,160.0781059358212,0
16,1,89,145.7737973711325,0
17,1,12,55.90169943749474,0
18,1,91,90.13878188659973,0
19,1,94,70.71067811865476,0
20,1,65,103.07764064044152,0
21,1,11,50.0,0
22,1,57,90.13878188659973,0
23,1,85,122.47448713915891,0
24,1,13,70.71067811865476,0
25,1,58,70.71067811865476,0
26,1,49,143.61406616345073,0
27,1,60,106.06601717798213,0
28,1,96,35.35533905932738,0
29,1,74,134.6291201783626,0
30,1,44,127.47548783981962,0
31,1,41,160.0781059358212,0
32,1,23,111.80339887498948,0
33,1,34,106.06601717798213,0
34,1,61,90.13878188659973,0
35,1,24,125.0,0
36,1,84,114.564392373896,0
37,1,14,90.13878188659973,0
38,1,31,143.61406616345073,0
39,1,40,111.80339887498948,0
40,1,68,125.0,0
41,1,36,150.0,0
42,1,56,35.35533905932738,0
43,1,50,141.4213562373095,0
44,1,55,55.90169943749474,0
45,1,8,55.90169943749474,0
46,1,35,103.07764064044152,0
47,1,62,79.05694150420949,0
48,1,28,111.80339887498948,0
49,1,64,111.80339887498948,0
50,1,19,106.06601717798213,0
51,1,39,114.564392373896,0
52,1,78,143.61406616345073,0
53,1,42,145.7737973711325,0
54,1,51,75.0,0
55,1,95,90.13878188659973,0
56,1,81,106.06601717798213,0
57,1,76,134.6291201783626,0
58,1,2,25.0,0
59,1,25,141.4213562373095,0
60,1,20,125.0,0
61,1,88,134.6291201783626,0
62,1,26,141.4213562373095,0
63,1,6,25.0,0
64,1,33,114.564392373896,0
65,1,54,79.05694150420949,0
66,1,98,79.05694150420949,0
67,1,71,127.47548783981962,0
68,1,21,100.0,0
69,1,66,103.07764064044152,0
70,1,92,106.06601717798213,0
71,1,97,55.90169943749474,0
72,1,52,50.0,0
73,1,37,134.6291201783626,0
74,1,32,127.47548783981962,0
75,1,38,122.47448713915891,0
76,1,69,106.06601717798213,0
77,1,73,122.47448713915891,0
78,1,3,50.0,0
79,1,48,150.0,0
80,1,9,79.05694150420949,0
81,1,72,114.564392373896,0
82,1,43,134.6291201783626,0
83,1,87,127.47548783981962,0
84,1,80,160.0781059358212,0
85,1,10,103.07764064044152,0
86,1,77,145.7737973711325,0
87,1,27,125.0,0
88,1,83,127.47548783981962,0
89,1,67,111.80339887498948,0
90,1,16,75.0,0
91,1,7,35.35533905932738,0
92,1,15,111.80339887498948,0
93,1,75,127.47548783981962,0
94,1,70,114.564392373896,0
95,1,5,100.0,0
96,1,46,173.20508075688772,0
97,2,48,143.61406616345073,0
98,2,12,50.0,0
99,2,58,75.0,0
100,2,50,143.61406616345073,0
101,2,23,103.07764064044152,0
102,2,77,129.9038105676658,0
103,2,85,114.564392373896,0
104,2,72,93.54143466934853,0
105,2,34,103.07764064044152,0
106,2,13,55.90169943749474,0
107,2,91,79.05694150420949,0
108,2,70,93.54143466934853,0
109,2,40,114.564392373896,0
110,2,71,108.97247358851683,0
111,2,31,127.47548783981962,0
112,2,37,122.47448713915891,0
113,2,5,75.0,0
114,2,7,25.0,0
115,2,69,82.915619758885,0
116,2,33,106.06601717798213,0
117,2,19,90.13878188659973,0
118,2,4,50.0,0
119,2,55,61.237243569579455,0
120,2,11,55.90169943749474,0
121,2,64,114.564392373896,0
122,2,15,90.13878188659973,0
123,2,65,106.06601717798213,0
124,2,84,111.80339887498948,0
125,2,94,55.90169943749474,0
126,2,24,111.80339887498948,0
127,2,29,100.0,0
128,2,42,134.6291201783626,0
129,2,98,55.90169943749474,0
130,2,63,127.47548783981962,0
131,2,52,55.90169943749474,0
132,2,73,103.07764064044152,0
133,2,60,108.97247358851683,0
134,2,54,82.915619758885,0
135,2,97,35.35533905932738,0
136,2,14,70.71067811865476,0
137,2,41,145.7737973711325,0
138,2,59,61.237243569579455,0
139,2,36,134.6291201783626,0
140,2,74,117.26039399558574,0
141,2,78,127.47548783981962,0
142,2,92,90.13878188659973,0
