,source,target,dist,changed
0,1,44,120.77726782782338,False
1,1,75,136.81993278022492,False
2,1,50,140.10517878026997,False
3,1,8,56.10503264683935,False
4,1,51,75.61115363937836,False
5,2,25,121.5596346263125,False
6,2,32,117.11694046985437,False
7,2,23,100.07228647066842,False
8,2,65,102.86136230519087,False
9,2,67,92.91550219228849,False
10,3,62,88.81356208843215,False
11,3,11,65.34179115144886,False
12,3,59,71.5915538089063,False
13,3,75,94.90532766383714,False
14,3,8,24.494931344111592,False
15,4,93,70.88774675613546,False
16,4,76,95.34242181197656,False
17,4,72,60.466427459247306,False
18,4,5,25.85645156702113,False
19,4,19,74.68284408932676,False
20,5,45,157.3429948503335,False
21,5,13,69.6834087029148,False
22,5,48,152.79092990404106,False
23,5,91,92.71808487081987,False
24,6,51,80.48017505880756,False
25,6,91,95.08888265350218,False
26,6,40,105.10423411585623,False
27,6,38,111.87069763694458,False
28,6,8,51.66695174545017,False
29,7,9,48.91430464107703,False
30,7,75,88.8503882533713,False
31,7,80,132.67386052915788,False
32,7,22,75.31621969567706,False
33,7,73,92.97446796039928,False
34,8,19,56.642216954479196,False
35,8,30,113.82292080160207,False
36,9,88,113.84383625201932,False
37,9,28,113.76025821753022,False
38,9,54,105.87979810351268,False
39,9,57,117.7865811767185,False
40,10,90,106.00654227939683,False
41,10,40,141.97119159923182,False
42,10,22,103.98735716690341,False
43,10,18,69.95627010626507,False
44,10,59,109.69779526603004,False
45,11,63,90.59807590200958,False
46,11,33,108.74706175433124,False
47,11,69,102.25198939388055,False
48,11,19,79.43369412555465,False
49,12,72,82.03201405331791,False
50,12,80,118.83212061987899,False
51,12,81,58.78900077697511,False
52,12,43,106.57797903713303,False
53,12,68,115.61870377159964,False
54,13,89,94.38113444212827,False
55,13,87,93.77678182087395,False
56,13,16,60.05911387711362,False
57,13,27,113.12960926594373,False
58,14,31,106.004100385624,False
59,14,33,113.390199216839,False
60,14,21,90.84355150734817,False
61,14,51,108.2280260475618,False
62,14,58,90.57133027083806,False
63,15,58,106.44644292254135,False
64,15,82,77.08733906809199,False
65,15,75,34.74207175405693,False
66,15,81,96.7588535143402,False
67,15,31,99.22429331267749,False
68,16,64,56.889824565030665,False
69,16,72,109.54092042114074,False
70,16,54,94.8156648321699,False
71,16,60,77.75431965795009,False
72,17,86,72.97892558336208,False
73,17,60,79.38064048458607,False
74,17,76,89.38413451758862,False
75,17,50,107.2055731528818,False
76,17,83,59.35714867960064,False
77,18,66,96.41472162817804,False
78,18,70,83.50003026439057,False
79,18,44,109.53479017301295,False
80,18,92,114.21776347853185,False
81,19,82,43.92235703695132,False
82,19,66,84.29172764416192,False
83,20,48,114.01778084400183,False
84,20,95,89.71455057391678,False
85,20,94,101.84093952917291,False
86,20,51,143.0801244281979,False
87,20,73,54.5204541134533,False
88,21,48,113.24541401226415,False
89,21,74,132.57552529049786,False
90,21,35,123.60861884036963,False
91,21,36,147.5418689209524,False
92,22,55,92.91527411160061,False
93,22,79,92.09905727219923,False
94,22,94,115.78588113868571,False
95,23,92,128.41724975673873,False
96,23,63,88.86197506038414,False
97,23,46,114.72905744903605,False
98,23,61,76.79859260910499,False
99,24,77,83.84674629100607,False
100,24,91,129.60032239348092,False
101,24,73,76.79258442086592,False
102,24,40,137.89012150816203,False
103,24,38,107.98501153819015,False
104,25,91,138.102609760485,False
105,25,37,117.68165885036443,False
106,25,88,88.17692347080339,False
107,25,98,103.31070491551722,False
108,26,38,68.22839317559146,False
109,26,73,73.76632069558373,False
110,26,65,160.51384381716431,False
111,26,70,54.65515843416863,False
112,26,40,113.99333908529285,False
113,27,44,94.92264281448453,False
114,27,96,92.14569028499047,False
115,27,54,84.93160044103277,False
116,27,32,26.020847662352146,False
117,28,88,107.43478020843088,False
118,28,83,128.1387609578,False
119,28,86,119.9024672820969,False
120,28,46,108.47540806347388,False
121,29,80,126.17242919774446,False
122,29,91,35.332909963261734,False
123,29,88,110.42958748173655,False
124,29,62,106.4382458839131,False
125,29,30,26.186707347229135,False
126,30,69,125.78529263265081,False
127,30,62,109.31607672124568,False
128,30,70,116.31712953415833,False
129,31,74,35.95128386987385,False
130,31,54,100.37226657369544,False
131,31,72,78.5667943400182,False
132,32,60,96.38253651951594,False
133,32,56,106.2330521046691,False
134,32,49,91.47500586974239,False
135,33,57,58.21383661488307,False
136,33,95,61.22021405461584,False
137,33,74,61.05079188399216,False
138,34,96,77.68280001529142,False
139,34,51,44.1234124306599,False
140,34,52,57.67756900173116,False
141,34,37,55.78068467591661,False
142,34,46,100.27517511170265,False
143,35,56,75.43142983707511,False
144,35,94,69.1729058801218,False
145,35,38,58.34775350847243,False
146,35,57,33.62376003334,False
147,36,88,78.54176205033218,False
148,36,67,72.41675579302533,False
149,36,42,35.3215106097187,False
150,36,70,57.439182754342916,False
151,37,59,107.9750254892787,False
152,37,61,93.37114833698395,False
153,37,95,71.40255671195034,False
154,38,73,68.67900853321838,False
155,39,89,74.3110705250998,False
156,39,53,95.15118247054137,False
157,39,77,81.26372782020941,False
158,39,60,43.827421936497714,False
159,39,67,105.13869830602918,False
160,40,75,122.45364537878199,False
161,41,50,99.87494221767825,False
162,41,68,78.94128454440518,False
163,41,46,26.109125534152053,False
164,41,82,92.08364433236225,False
165,41,90,107.51428131928888,False
166,42,67,93.7673189791404,False
167,42,71,61.163304796660036,False
168,42,56,120.89221931329857,False
169,42,47,25.191416330034563,False
170,43,95,95.29211735004246,False
171,43,79,75.91121078644747,False
172,43,50,56.20966070058431,False
173,43,81,81.78089341771766,False
174,44,59,82.82545283212248,False
175,44,53,107.74548878119079,False
176,45,62,74.33065844200294,False
177,45,54,53.983938594027585,False
178,45,70,119.24944591280936,False
179,45,57,34.86208611802078,False
180,46,71,80.58220778014866,False
181,47,59,120.0590430689619,False
182,47,84,68.78242569521652,False
183,47,74,59.38719162086401,False
184,47,76,60.09048869651078,False
185,48,81,74.5679609954915,False
186,48,85,48.320187601236206,False
187,49,78,106.05108283608972,False
188,49,85,56.86867804947359,False
189,49,96,121.47564579236291,False
190,49,53,128.8643544503294,False
191,50,63,24.73992891309652,False
192,52,92,78.28522227892402,False
193,52,66,102.16674596657053,False
194,52,71,104.96608819807142,False
195,52,93,24.144003185932558,False
196,53,97,49.101332447821726,False
197,53,66,103.62153717520933,False
198,55,93,35.72718197781262,False
199,55,77,120.61479745581127,False
200,55,86,105.39620303945067,False
201,55,92,84.47804209096184,False
202,56,65,72.6442746833726,False
203,56,58,36.880487067955094,False
204,57,72,108.69060105015943,False
205,58,63,53.194414427549475,False
206,58,96,59.373183758939646,False
207,60,77,106.8719578809843,False
208,61,74,105.93770469598898,False
209,61,64,25.88249433080132,False
210,61,92,109.53232360354845,False
211,62,87,60.33363079725319,False
212,63,67,149.2773834323073,False
213,64,83,79.95359971373288,False
214,64,84,25.177675155517857,False
215,64,77,107.54291582571737,False
216,65,80,113.88980297630451,False
217,65,97,118.28983692583655,False
218,66,71,57.50515254412594,False
219,68,93,79.75456274165056,False
220,68,81,135.68309711924218,False
221,68,98,53.06387700002139,False
222,69,78,75.57490419515777,False
223,69,93,84.41928907616035,False
224,69,76,54.418521806264344,False
225,71,78,88.74673388369666,False
226,76,85,55.811169401340834,False
227,78,97,109.07584215105149,False
228,78,82,48.60172102557307,False
229,79,87,76.34035697561563,False
230,79,89,35.13712051166279,False
231,79,90,118.51381554171125,False
232,80,86,34.980589511041956,False
233,82,85,24.86706618045943,False
234,83,85,36.16322110719097,False
235,83,94,105.38659170461061,False
236,84,90,104.07520877887059,False
237,84,97,107.90597519852585,False
238,84,95,105.9057322783893,False
239,86,87,54.46426176510173,False
240,87,90,104.7521264110987,False
241,89,96,118.58595106178373,False
