,source,target,dist,tol
0,1,25,134.58235989358352,13.458235989358352
1,1,56,37.16522598985979,3.7165225989859794
2,1,58,75.29982747950297,7.529982747950297
3,1,77,145.82571746617145,14.582571746617147
4,1,11,48.90383631374606,4.890383631374607
5,1,54,76.38380274882797,7.638380274882798
6,1,3,49.389480485661664,4.938948048566167
7,1,72,110.2851173165818,11.028511731658181
8,1,78,136.55791326664053,13.655791326664053
9,1,61,88.39845137422672,8.839845137422673
10,1,59,56.38697057657338,5.638697057657339
11,1,24,129.43751565043522,12.943751565043522
12,1,63,126.27439621852224,12.627439621852226
13,1,76,139.34150854424357,13.934150854424358
14,1,9,77.58053875052414,7.758053875052415
15,1,50,150.2827607305036,15.028276073050362
16,1,81,106.72725552121108,10.672725552121108
17,1,75,125.86386966213266,12.586386966213267
18,1,36,145.51044757603714,14.551044757603714
19,1,47,155.49510445718136,15.549510445718136
20,1,86,130.47042786750356,13.047042786750357
21,1,4,77.04088240290517,7.704088240290517
22,1,13,72.31455831640466,7.231455831640466
23,1,85,128.07019208678946,12.807019208678946
24,1,44,130.54414670944277,13.054414670944277
25,1,15,109.7701727789302,10.97701727789302
26,1,51,74.82951640853902,7.482951640853902
27,1,83,130.79395373303186,13.079395373303186
28,1,35,104.8558546567036,10.485585465670361
29,1,8,55.308600832067526,5.530860083206753
30,1,71,133.2372447863156,13.323724478631561
31,1,37,134.0176102661812,13.401761026618122
32,1,48,150.18823258450917,15.018823258450917
33,1,40,108.96063489622112,10.896063489622113
34,1,38,114.89900994785387,11.489900994785387
35,1,69,107.86695380851201,10.786695380851201
36,1,95,88.99156089756964,8.899156089756964
37,1,55,56.41987320429309,5.641987320429309
38,1,19,107.88200625739188,10.788200625739188
39,1,17,79.0730429899658,7.90730429899658
40,1,45,123.03348455145661,12.303348455145661
41,1,42,137.85674596600677,13.785674596600678
42,1,26,143.21696322575372,14.321696322575372
43,1,32,131.2457316972353,13.124573169723531
44,1,29,97.24481223094203,9.724481223094203
45,1,70,117.27288618666819,11.727288618666819
46,1,92,108.05763890811433,10.805763890811434
47,1,7,33.2776479557893,3.32776479557893
48,1,57,91.13336569671279,9.11333656967128
49,1,73,118.7494167829867,11.87494167829867
50,1,93,55.22255727614801,5.522255727614802
51,1,53,24.226518999999612,2.4226518999999613
52,1,34,103.58794607818129,10.35879460781813
54,1,97,52.71994651222277,5.271994651222277
55,1,23,112.31965912555074,11.231965912555076
56,1,6,24.934137063579662,2.493413706357966
57,1,67,112.23813153295073,11.223813153295074
58,1,18,92.40839015332033,9.240839015332034
59,1,90,79.79022846756112,7.979022846756113
60,1,33,111.34278183537646,11.134278183537646
61,1,49,142.81787233219384,14.281787233219385
62,1,27,122.76703305006255,12.276703305006256
63,1,2,25.808226175625784,2.5808226175625784
64,1,12,54.796099065793626,5.479609906579363
