,source,target,dist,tol,changed
23,1,2,25.100823297581442,0.07171663655875707,False
11,1,3,49.944783304306036,0.14269937801545818,False
52,1,4,74.80727606055058,0.21373507018401444,False
43,1,5,100.10480811837188,0.28601373176078776,False
72,1,6,24.90559904805271,0.07115885299983066,False
41,1,7,35.45989293320038,0.10131397778286434,False
13,1,8,55.6757628449316,0.1590736049469038,False
6,1,9,79.20406488006043,0.2262973237027975,False
27,1,10,102.93798289085453,0.2941085166631282,False
94,1,11,50.204274178510175,0.14344078049835626,False
54,1,12,55.95533469066511,0.15987238163302406,False
66,1,13,70.74905500109844,0.2021401531031924,False
56,1,14,90.18903874792332,0.25768296269755014,False
55,1,15,112.0316658921754,0.3200904675758345,False
95,1,16,74.77635813375022,0.21364673325206587,False
39,1,17,78.95516312379264,0.22558617584196966,False
79,1,18,90.57358615730635,0.25878166955952747,False
47,1,19,106.50225137041458,0.30429214068677013,False
34,1,20,125.35718632674336,0.3581633823417132,False
89,1,21,100.05939253333723,0.28588397294899826,False
80,1,22,103.1266666578798,0.2946476131295613,False
85,1,23,111.69518947873834,0.31912910641381304,False
0,1,24,125.34650462107652,0.35813286318327553,False
63,1,25,142.18369946861975,0.40623913321413074,False
10,1,26,141.6472490487425,0.4047064177594215,False
19,1,27,124.7976607194093,0.3565647377813031,False
64,1,28,111.98492174750739,0.3199569128794541,False
40,1,29,103.31128089553619,0.2951750823694587,False
3,1,30,99.76523298453067,0.2850435171120743,False
86,1,31,143.69971299427166,0.4105706003436497,False
31,1,32,126.2859652484891,0.3608170363507709,False
59,1,33,114.36412486316846,0.3267546359311027,False
84,1,34,106.1985397277905,0.30342439315377057,False
82,1,35,103.04204335942204,0.2944058322816605,False
42,1,36,149.77246844825217,0.42792132986515086,False
30,1,37,134.7524109497587,0.38500688072774425,False
2,1,38,122.132839921903,0.3489509642264177,False
24,1,39,114.38485217103651,0.32681385680954134,False
22,1,40,112.0934124412669,0.3202668862839962,False
75,1,41,159.32699868340669,0.4552199871339049,False
70,1,42,146.22586228525594,0.4177881696021105,False
78,1,43,134.20694763017178,0.38344841413152236,False
49,1,44,126.67497546486833,0.3619284940896252,False
28,1,45,125.59310960115353,0.35883744882654667,False
4,1,46,173.53893762310827,0.4958255261495129,False
32,1,47,159.5038718880479,0.4557253391370585,False
16,1,48,149.9001138558267,0.4282860310223555,False
38,1,49,143.4337222739802,0.4098106268723022,False
53,1,50,141.57096675974844,0.4044884683666546,False
45,1,51,74.55434409351977,0.21301240743552255,False
1,1,52,50.280823252912114,0.1436594921351304,False
7,1,53,24.98499133465235,0.07138568809986436,False
46,1,54,78.81694533860065,0.22519126789217642,False
8,1,55,55.90927398125666,0.15974077960877478,False
90,1,56,35.459488576163174,0.10131282247706686,False
96,1,57,89.88855242192784,0.2568244303547337,False
20,1,58,70.42821273602415,0.2012234609355997,False
33,1,59,55.79018037825236,0.15940051217842502,False
68,1,60,106.28740811881187,0.3036783028373249,False
5,1,61,89.97675602238749,0.2570764406367211,False
29,1,62,79.39146190580438,0.22683274376564327,False
60,1,63,125.33733123009317,0.3581066534952758,False
73,1,64,111.95917269736839,0.31988334416624264,False
26,1,65,103.25241409600612,0.29500689151702236,False
21,1,66,102.75622778863136,0.293589216381448,False
81,1,67,111.54705919235231,0.31870587703260317,False
69,1,68,124.60381116888887,0.3560108819337504,False
25,1,69,105.85877110774443,0.30245362568734,False
50,1,70,114.90683905169897,0.3283052478673205,False
36,1,71,127.71613665048372,0.36490324027474563,False
15,1,72,114.35048879067409,0.3267156757247552,False
58,1,73,122.59223312406431,0.35026351620634183,False
88,1,74,134.65872481955492,0.3847392060753726,False
71,1,75,127.68255838954435,0.36480730238826625,False
65,1,76,134.22687338932107,0.3835053448708103,False
37,1,77,145.19174112623676,0.41483353777829124,False
76,1,78,144.02090627178265,0.41148829540389864,False
77,1,79,149.9359259511318,0.4283883512926093,False
91,1,80,159.64333616386648,0.4561238084885707,False
12,1,81,105.92300528256942,0.30263715189745516,False
14,1,82,114.39835121856756,0.3268524255160015,False
18,1,83,127.32928967653613,0.36379796322842956,False
61,1,84,114.78703706147037,0.3279629564735132,False
17,1,85,122.63183972896032,0.35037667793235294,False
92,1,86,134.59223481476536,0.3845492346369162,False
62,1,87,126.91357745437804,0.3626102140460185,False
67,1,88,134.9915514135207,0.3856901391819705,False
35,1,89,145.52218449493876,0.4157776616699859,False
48,1,90,78.96533793576397,0.22561524673273486,False
83,1,91,90.63519423766594,0.2589576926427487,False
44,1,92,105.99661658025975,0.3028474698866498,False
51,1,93,55.775660434127516,0.1593590266246123,False
57,1,94,70.80945336384978,0.20231271985045918,False
87,1,95,90.53839751768444,0.25868113059118997,False
9,1,96,35.348658945400224,0.10099616639550583,False
74,1,97,56.01339088024879,0.1600382564570885,False
93,1,98,78.71476917840815,0.22489933601175074,False
168,2,3,24.995037962782543,0.07141439275109081,False
159,2,4,49.96588302343039,0.14275966292603637,False
105,2,5,75.30365124465114,0.21515328496736602,False
116,2,6,35.44532897152245,0.10127236646461676,False
185,2,7,25.04260706533047,0.07155030446993807,False
136,2,8,35.359530213172555,0.10102722715994843,False
135,2,9,55.88084487319061,0.15965955358735348,False
130,2,10,79.05815476395426,0.22588043766511762,False
152,2,11,55.73163945832868,0.1592332524105597,False
188,2,12,49.83979175511673,0.14239940216663113,False
142,2,13,56.073109349221426,0.16020888065074068,False
149,2,14,70.69306458721093,0.20198018049528468,False
113,2,15,90.41921108812191,0.2583405979421077,False
132,2,16,79.51446752524897,0.22718418838559892,False
186,2,17,74.77414578576877,0.21364041225795954,False
97,2,18,78.8839233883952,0.22538263374490494,False
181,2,19,89.91506756958707,0.2569001879179592,False
177,2,20,105.73293138705165,0.30209408363540863,False
190,2,21,102.71623126638018,0.29347494060587304,False
114,2,22,100.36421309852474,0.28675488883211564,False
115,2,23,103.12858398608304,0.29465309121003247,False
169,2,24,111.67723660365968,0.3190778124860427,False
157,2,25,125.84499582747905,0.3595571237445118,False
189,2,26,124.93857668268576,0.3569673548111835,False
143,2,27,111.11868317016987,0.31748194556513204,False
111,2,28,103.29326561529103,0.29512361014121635,False
164,2,29,99.92233274186208,0.28549237355261553,False
139,2,30,103.10201366598015,0.29457717601125677,False
138,2,31,127.63526597360473,0.3646721812025697,False
154,2,32,114.50151898958647,0.32714719057016023,False
110,2,33,106.51009256111178,0.30431454408831404,False
166,2,34,103.24045954175725,0.294972735648423,False
122,2,35,106.12840941757653,0.30322402084288097,False
153,2,36,134.5722986251989,0.38449227409643694,False
123,2,37,122.01661657752118,0.3486188975348253,False
119,2,38,114.69579740057058,0.32770227173329897,False
131,2,39,112.21229861591624,0.32060656106191504,False
120,2,40,114.92719733238015,0.32836341438238914,False
192,2,41,146.13087762493254,0.41751678486375704,False
150,2,42,134.96288555590715,0.3856082367332841,False
104,2,43,127.59537715843051,0.36455821316149417,False
133,2,44,124.16918997027825,0.3547691071054127,False
179,2,45,126.7667938824188,0.3621908324202369,False
99,2,46,159.57184607410784,0.4559195510933455,False
187,2,47,150.0645285841811,0.42875578737968717,False
163,2,48,143.88326377811308,0.41109503114413654,False
118,2,49,141.74917444305532,0.4049976331659195,False
162,2,50,142.78000049128858,0.40794285038768163,False
112,2,51,78.98816230578949,0.22568045921721783,False
103,2,52,55.791510710509286,0.1594043131276545,False
98,2,53,35.49300984977621,0.10140859754261718,False
183,2,54,82.94498486798045,0.2369856663116593,False
100,2,55,61.34828495053377,0.1752808106387659,False
141,2,56,43.3032251381003,0.12372349792010229,False
176,2,57,93.29539679424624,0.26655827122382375,False
145,2,58,74.74161767821792,0.21354747480967304,False
108,2,59,61.02149528514851,0.174347125899196,False
156,2,60,109.16286062102442,0.31189388125076345,False
134,2,61,93.48617264944772,0.2671033450849265,False
101,2,62,83.25371068734934,0.23786774006364322,False
121,2,63,127.66257095411683,0.36475019543104403,False
173,2,64,114.56110933272258,0.3273174486900011,False
172,2,65,106.00367663792333,0.30286764147957085,False
117,2,66,79.02233141626876,0.22577808524520607,False
140,2,67,89.98981273190971,0.2571137455203242,False
109,2,68,106.260717118525,0.30360204283803044,False
160,2,69,82.95721984701144,0.23702062339390584,False
161,2,70,93.75980038199327,0.26788513859084934,False
171,2,71,108.65264042257115,0.31043610928433807,False
102,2,72,93.49371651774592,0.26712489899391884,False
180,2,73,102.56092232392204,0.2930312007791531,False
146,2,74,117.76929683275931,0.33648369850678106,False
175,2,75,109.16507487361663,0.3119002076866147,False
155,2,76,116.82564382479316,0.33378754710937225,False
107,2,77,130.57265901131228,0.37306473257102596,False
144,2,78,127.64406890504385,0.3646973324347499,False
137,2,79,135.48525307115426,0.38710071531842627,False
106,2,80,145.15925023821484,0.41474070667151375,False
148,2,81,103.02002582513416,0.29434292504209614,False
158,2,82,105.98413908458939,0.30281181989973316,False
128,2,83,114.62009970610806,0.32748599261058875,False
178,2,84,111.17081178999555,0.3176308844759409,False
