,x,y,z
0,0.000000,0.000000,0.000000
1,20.000000,0.000000,0.000000
2,40.000000,0.000000,0.000000
3,60.000000,0.000000,0.000000
4,80.000000,20.000000,0.000000
5,0.000000,20.000000,0.000000
6,20.000000,20.000000,0.000000
7,40.000000,20.000000,0.000000
8,60.000000,40.000000,0.000000
9,80.000000,40.000000,0.000000
10,0.000000,40.000000,0.000000
11,20.000000,40.000000,0.000000
12,40.000000,60.000000,0.000000
13,60.000000,60.000000,0.000000
14,80.000000,60.000000,0.000000
15,0.000000,60.000000,0.000000
16,20.000000,80.000000,0.000000
17,40.000000,80.000000,0.000000
18,60.000000,80.000000,0.000000
19,80.000000,80.000000,0.000000
20,0.000000,0.000000,20.000000
21,20.000000,0.000000,20.000000
22,40.000000,0.000000,20.000000
23,60.000000,0.000000,20.000000
24,80.000000,20.000000,20.000000
25,0.000000,20.000000,20.000000
26,20.000000,20.000000,20.000000
27,40.000000,20.000000,20.000000
28,60.000000,40.000000,20.000000
29,80.000000,40.000000,20.000000
30,0.000000,40.000000,20.000000
31,20.000000,40.000000,20.000000
32,40.000000,60.000000,20.000000
33,60.000000,60.000000,20.000000
34,80.000000,60.000000,20.000000
35,0.000000,60.000000,20.000000
36,20.000000,80.000000,20.000000
37,40.000000,80.000000,20.000000
38,60.000000,80.000000,20.000000
39,80.000000,80.000000,20.000000
40,0.000000,0.000000,40.000000
41,20.000000,0.000000,40.000000
42,40.000000,0.000000,40.000000
43,60.000000,0.000000,40.000000
44,80.000000,20.000000,40.000000
45,0.000000,20.000000,40.000000
46,20.000000,20.000000,40.000000
47,40.000000,20.000000,40.000000
48,60.000000,40.000000,40.000000
49,80.000000,40.000000,40.000000
50,0.000000,40.000000,40.000000
51,20.000000,40.000000,40.000000
52,40.000000,60.000000,40.000000
53,60.000000,60.000000,40.000000
54,80.000000,60.000000,40.000000
55,0.000000,60.000000,40.000000
56,20.000000,80.000000,40.000000
57,40.000000,80.000000,40.000000
58,60.000000,80.000000,40.000000
59,80.000000,80.000000,40.000000
60,0.000000,0.000000,60.000000
61,20.000000,0.000000,60.000000
62,40.000000,0.000000,60.000000
63,60.000000,0.000000,60.000000
64,80.000000,20.000000,60.000000
65,0.000000,20.000000,60.000000
66,20.000000,20.000000,60.000000
67,40.000000,20.000000,60.000000
68,60.000000,40.000000,60.000000
69,80.000000,40.000000,60.000000
70,0.000000,40.000000,60.000000
71,20.000000,40.000000,60.000000
72,40.000000,60.000000,60.000000
73,60.000000,60.000000,60.000000
74,80.000000,60.000000,60.000000
75,0.000000,60.000000,60.000000
76,20.000000,80.000000,60.000000
77,40.000000,80.000000,60.000000
78,60.000000,80.000000,60.000000
79,80.000000,80.000000,60.000000
80,0.000000,0.000000,80.000000
81,20.000000,0.000000,80.000000
82,40.000000,0.000000,80.000000
83,60.000000,0.000000,80.000000
84,80.000000,20.000000,80.000000
85,0.000000,20.000000,80.000000
86,20.000000,20.000000,80.000000
87,40.000000,20.000000,80.000000
88,60.000000,40.000000,80.000000
89,80.000000,40.000000,80.000000
90,0.000000,40.000000,80.000000
91,20.000000,40.000000,80.000000
92,40.000000,60.000000,80.000000
93,60.000000,60.000000,80.000000
94,80.000000,60.000000,80.000000
95,0.000000,60.000000,80.000000
96,20.000000,80.000000,80.000000
97,40.000000,80.000000,80.000000
