1 0 0 0 0 0 0
2 31.74 7.38 11.58 10 10 10
3 68.76 -9.74 1.25 10 10 10
4 71.31 5.09 20.28 10 10 10
5 100 0 0 0 0 0
6 10.9 2.15 40.82 10 10 10
7 41.03 10.01 16.75 10 10 10
8 62.22 -0.43 22.92 10 10 10
9 63.05 -13.69 15.85 10 10 10
10 98.9 -3.94 -3.74 10 10 10
11 -0.65 6.02 63.43 10 10 10
12 14.74 -1.21 55.14 10 10 10
13 51.43 6.98 43.34 10 10 10
14 59.2 7.39 53.91 10 10 10
15 107.51 0.54 39.53 10 10 10
16 0.54 -9.83 76.12 10 10 10
17 12.48 -12.67 72.67 10 10 10
18 28.48 -1.55 88.63 10 10 10
19 66.84 9.4 83.81 10 10 10
20 105.07 7.19 62.27 10 10 10
21 0 0 100 0 0 0
22 42.28 11.62 116.84 10 10 10
23 50.03 -13.65 110.2 10 10 10
24 58.33 20.97 104.85 10 10 10
25 119.4 10.96 80.61 10 10 10
26 70.67 108.99 -5.79 10 10 10
27 93 92.54 7.24 10 10 10
28 74.69 105.1 -8.43 10 10 10
29 25.66 99.79 -6.58 10 10 10
30 0 100 0 0 0 0
31 90.78 99.81 26.65 10 10 10
32 82.02 98.89 31.11 10 10 10
33 53.94 109.96 32.27 10 10 10
34 5.49 109.91 13.21 10 10 10
35 3.46 114.02 32.99 10 10 10
36 91.66 106.71 30.31 10 10 10
37 68.11 111.14 51.25 10 10 10
38 60.73 100.59 52.3 10 10 10
39 37 72.88 57.94 10 10 10
40 16.24 111.68 52.21 10 10 10
41 105.43 113.35 89.63 10 10 10
42 66.93 108.23 71.78 10 10 10
43 55.41 101.43 84.3 10 10 10
44 32.86 94.45 58.5 10 10 10
45 9.88 92.14 65.19 10 10 10
46 111.19 119.94 98.04 10 10 10
47 78.31 81.38 108.26 10 10 10
48 43.32 111.37 103.24 10 10 10
49 30.06 118.74 106.61 10 10 10
50 -2.09 105.27 94.59 10 10 10
51 24.42 66.06 5.97 10 10 10
52 -10.44 54.78 6.27 10 10 10
53 11.59 20.37 -11.43 10 10 10
54 8.21 81.26 30.18 10 10 10
55 1.57 36.67 21.02 10 10 10
56 -11.72 29.34 36.24 10 10 10
57 -0.17 71.47 51.78 10 10 10
58 6.33 45.17 54.39 10 10 10
59 -4.58 27.15 50.3 10 10 10
60 -2.07 68.56 62.76 10 10 10
61 -12.86 40.57 51.61 10 10 10
62 8 5.35 64.51 10 10 10
63 -4.03 52.6 115.62 10 10 10
64 -20.26 55.95 113.63 10 10 10
65 8.7 13.12 100.62 10 10 10
66 112.4 8.76 -21.24 10 10 10
67 79.23 44.65 9.95 10 10 10
68 104.54 78.42 -7.19 10 10 10
69 90.83 24.15 15.78 10 10 10
70 91.7 42.2 13.74 10 10 10
71 103.38 75.72 31.31 10 10 10
72 84.08 31.56 35.8 10 10 10
73 94.73 50.68 51.94 10 10 10
74 93.2 78.92 54.55 10 10 10
75 108.03 34.15 61.16 10 10 10
76 95.21 48.16 85.73 10 10 10
77 96.11 101.88 47.06 10 10 10
78 112.97 27.74 103.54 10 10 10
79 126.2 34.61 98.58 10 10 10
80 111.23 97.37 75.53 10 10 10
81 9.57 17.26 99.29 10 10 10
82 53.09 17.29 113.03 10 10 10
83 78.24 36.99 98.4 10 10 10
84 37.52 55.55 95.26 10 10 10
85 33.14 31.19 101.13 10 10 10
86 78.97 42.59 99.44 10 10 10
87 30.98 76.03 117.97 10 10 10
88 45.27 57.08 93.4 10 10 10
89 88.67 90.06 99.79 10 10 10
90 14.46 73.29 -11.17 10 10 10
91 59.8 74.84 1.83 10 10 10
92 76.6 80.2 -10.52 10 10 10
93 4.93 54.9 -4.18 10 10 10
94 37.52 52.85 -1.48 10 10 10
95 86.54 42.34 0.24 10 10 10
96 25.11 6.52 12.99 10 10 10
97 44.96 23.15 23.13 10 10 10
98 88.65 25.69 10.27 10 10 10
